rank,aclj.org,advocate.com,alternet.org,americannews.com,americanthinker.com,billmoyers.com,bizpacreview.com,blackamericaweb.com,bluenationreview.com,breitbart.com,charismanews.com,commondreams.org,conservativepost.com,conservativetribune.com,dailycaller.com,dailykos.com,dailysignal.com,democracynow.org,ecowatch.com,forwardprogressives.com,freebeacon.com,globalgrind.com,gopthedailydose.com,grist.org,headlinepolitics.com,hotair.com,ifyouonlynews.com,ijr.com,infowars.com,investors.com,legalinsurrection.com,lgbtqnation.com,libertynews.com,lifenews.com,{lifesitenews.com},lifesitenews.com,lifezette.com,lovebscott.com,madamenoire.com,madworldnews.com,mediamatters.org,mic.com,motherjones.com,nationalreview.com,nation.foxnews.com,newrepublic.com,newsone.com,occupydemocrats.com,pamelageller.com,pjmedia.com,politicususa.com,radio.foxnews.com,redstate.com,reverbpress.com,rightwingwatch.org,{rushlimbaugh.com},rushlimbaugh.com,salon.com,slate.com,sonsoflibertymedia.com,takepart.com,talkingpointsmemo.com,tampabay.com,teaparty.org,theblaze.com,thegatewaypundit.com,thegrio.com,thenation.com,thenewcivilrightsmovement.com,thepoliticalinsider.com,theroot.com,thinkprogress.org,townhall.com,trofire.com,truthdig.com,truth-out.org,twitchy.com,washingtonexaminer.com,{weeklystandard.com},weeklystandard.com,westernjournalism.com,{wnd.com},wnd.com,youngcons.com,terms,tfidf
35,22,110,120,25,117,41,101,20,12,92,30,102,18,89,159,115,39,169,35,23,69,8,23,11,12,62,45,15,27,20,19,190,0,82,0,61,50,5,7,35,123,15,96,72,31,24,56,20,27,47,60,21,74,32,43,0,18,5,133,102,35,184,55,160,39,20,21,19,129,33,26,225,65,34,50,94,24,202,0,30,114,0,149,61,federal_judge,0.0573385920076
36,9,62,191,71,177,62,59,38,8,109,61,91,31,96,90,74,18,77,41,17,36,102,15,49,23,72,137,34,35,21,12,36,0,83,0,56,34,25,110,208,24,72,79,89,18,66,30,31,25,33,44,10,71,80,21,0,69,12,290,85,47,38,79,119,47,14,29,30,49,39,65,127,72,42,79,169,18,89,0,40,71,0,68,103,ever_since,0.056731587369
37,0,2,3,0,0,0,4,0,0,4,0,1,0,2,2296,2,0,0,0,0,5,2,2,1,0,0,1,1,2,2,2,2,0,0,0,0,0,0,3,0,12,5,2,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,13,1,121,1,0,14,35,0,1,0,1,0,1,7,1,0,2,1,0,0,0,0,0,0,2,1,privacy_policy,0.0556576560855
38,9,62,177,15,142,45,68,32,9,139,97,107,32,53,126,94,24,101,81,17,42,48,27,73,17,33,46,28,30,60,10,32,1,71,0,85,42,19,79,89,60,89,63,79,15,70,122,6,42,38,41,8,49,52,11,0,42,13,253,73,78,63,132,146,54,22,31,29,52,29,81,183,47,29,66,154,32,236,0,41,71,0,80,37,three_times,0.0555876170888
39,0,30,108,12,106,27,56,3,11,139,30,45,9,96,112,40,17,38,4,29,42,0,11,9,44,45,43,31,34,0,15,16,0,32,0,16,39,1,2,11,56,42,30,119,39,56,10,13,2,53,157,7,88,59,18,0,44,1,105,28,2,70,36,225,83,50,14,22,20,44,21,65,49,14,36,25,15,221,0,100,136,0,73,66,republican_nomination,0.0546070711342
40,0,73,84,24,132,15,115,53,2,192,29,51,41,142,104,57,15,74,1,4,8,47,42,5,31,9,65,21,15,1,12,6,2,84,0,47,68,24,235,256,35,72,28,65,17,27,181,2,4,12,18,5,48,69,21,0,13,1,75,94,19,34,33,125,59,20,145,12,9,62,209,56,57,14,26,79,25,49,0,8,85,0,105,73,black_community,0.0540701054925
41,0,2,4,21,0,18,1,1,0,2,4,0,5,127,0,3,0,4,1,0,0,3,8,0,482,0,0,0,4,0,0,0,0,4,0,2,0,1,18,27,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,1,18,0,0,2,1,2,1,2,0,1,782,0,0,0,0,1,2,0,0,0,0,779,0,5,0,share_your_thoughts,0.0531595985347
42,1,2,5,33,2,0,838,0,1,4,32,0,97,245,71,0,1,0,0,7,0,0,83,0,53,26,36,0,3,0,40,1,0,5,0,1,0,1,1,1,0,0,6,3,71,0,0,1,3,0,33,0,12,3,6,0,1,0,1,27,0,5,0,2,93,17,1,0,29,174,0,2,63,29,2,0,3,4,0,5,215,0,0,21,latest_video_at_videofoxnewscom,0.0525292475639
43,1,26,178,16,118,71,66,16,3,166,39,81,28,84,131,96,25,175,51,35,24,17,9,64,22,41,91,37,30,9,9,14,0,56,0,58,27,11,82,80,73,65,61,76,13,41,17,13,16,26,102,3,84,39,58,0,229,5,149,71,31,62,50,119,31,16,17,14,39,36,27,151,32,43,72,85,24,95,0,41,76,0,70,69,get_rid,0.0514319699481
44,8,49,161,13,95,37,62,31,1,140,80,62,22,81,98,54,23,81,24,11,29,46,25,20,15,40,32,45,24,56,11,19,1,126,0,105,29,29,129,175,73,75,74,76,8,46,35,3,37,34,16,3,33,24,16,0,68,6,244,49,31,47,126,123,46,23,49,19,16,14,66,63,27,12,43,123,10,93,0,46,72,0,76,31,next_day,0.0507082336484
45,2,30,178,7,127,38,78,13,5,119,52,79,4,100,94,76,20,76,35,57,21,38,13,56,24,100,72,28,20,61,9,15,1,42,0,41,30,9,64,94,47,68,36,117,20,74,23,13,6,42,55,6,98,24,9,0,53,10,289,59,39,57,65,112,42,27,22,15,25,26,43,75,74,29,48,85,36,144,0,47,65,0,57,43,much_better,0.0504514239936
46,6,35,212,4,196,69,36,6,0,92,70,139,8,90,70,102,14,51,38,15,35,6,11,78,8,58,49,14,22,41,22,8,0,56,0,69,26,3,34,113,41,58,43,217,15,113,12,16,11,40,124,5,100,37,9,0,49,18,334,120,31,37,59,100,41,6,14,41,18,14,26,134,66,22,73,147,5,96,0,59,35,0,78,18,much_less,0.0498677656874
47,0,14,14,5,33,22,10,1,0,19,8,1,41,31,1,10,0,0,0,24,2,8,14,6,191,7,9,5,2,2,3,9,0,4,0,4,0,4,33,7,10,23,2,12,0,5,8,3,4,25,2,0,18,8,1,0,0,2,35,11,6,1,0,13,14,2,2,0,26,851,19,4,5,0,7,2,2,0,0,1,771,0,9,5,comments_section,0.0497743803584
48,2,31,127,143,52,42,48,10,17,147,0,70,23,110,90,72,38,390,37,124,40,58,19,54,21,87,77,11,41,6,16,20,1,53,0,27,27,30,95,171,20,0,3,95,7,74,49,6,16,16,95,6,120,41,25,0,0,22,268,73,55,23,1,150,55,21,17,21,19,45,48,125,51,30,51,8,41,0,0,9,56,0,76,117,weve_seen,0.0496576486971
49,14,53,117,18,88,22,48,22,7,154,64,73,21,74,101,63,22,86,26,9,52,41,21,17,14,37,30,53,25,30,19,43,0,140,0,91,19,20,57,168,73,65,71,68,14,64,53,2,40,31,16,4,31,29,12,0,11,3,195,58,39,47,108,143,44,10,38,24,13,18,66,116,40,16,40,114,21,75,0,56,55,0,65,28,days_later,0.0486771027426
50,32,48,80,40,99,21,61,4,2,98,42,118,19,90,42,60,44,169,33,76,35,11,16,4,8,36,24,9,31,0,14,38,0,204,0,70,27,2,8,77,26,19,20,64,12,13,30,6,21,24,54,3,46,54,37,0,27,12,70,135,16,31,13,146,45,9,18,17,30,28,19,65,63,22,54,91,36,58,0,25,43,0,111,39,constitutional_rights,0.0473697081365
51,2,43,57,6,48,7,113,23,1,236,43,41,30,64,121,24,7,64,6,19,20,53,12,11,12,16,59,55,11,8,22,29,1,12,0,18,19,55,21,62,29,86,19,26,23,14,26,1,54,23,39,5,48,18,9,0,26,6,157,26,10,78,103,151,121,98,45,11,56,24,53,60,21,11,19,12,37,155,0,18,123,0,29,59,friday_night,0.0468093961625
52,11,67,124,25,92,21,44,17,25,112,76,108,17,81,107,76,33,44,65,37,79,38,16,31,16,43,14,35,33,187,23,24,0,66,0,34,27,18,54,37,36,105,67,81,12,37,33,11,37,30,50,5,25,32,2,0,10,2,260,64,93,26,129,130,38,23,33,22,24,22,40,159,44,12,69,93,7,107,0,25,40,0,51,45,past_year,0.0464592011788
53,0,2,3,1,4,5,0,0,0,3,1930,1,0,0,1,7,0,3,0,0,1,1,2,3,1,1,2,1,0,0,1,0,0,0,0,1,1,0,7,2,0,1,2,1,0,3,0,0,0,2,2,0,6,2,0,0,4,0,13,3,0,1,0,2,1,0,0,0,1,1,4,1,0,0,3,1,2,2,0,1,0,0,3,3,interesting_story,0.0462490841885
54,8,19,74,17,89,41,139,14,5,82,19,114,23,97,89,39,43,72,3,6,41,1,9,11,19,11,17,26,21,2,15,10,0,34,0,22,39,0,1,12,96,33,34,42,23,15,15,8,15,27,34,3,31,26,22,0,6,5,69,36,4,89,25,150,70,18,11,18,38,106,22,110,49,16,50,75,10,218,0,39,122,0,70,86,president_george_w,0.0461790451918
55,0,6,32,21,138,11,52,1,4,133,10,23,33,135,38,15,7,6,0,15,33,1,22,0,17,35,28,24,35,1,12,8,0,9,0,8,24,1,12,74,64,15,13,112,6,5,5,11,2,21,22,4,47,13,38,0,6,0,62,312,0,14,11,120,52,12,6,6,8,37,9,41,70,9,15,14,20,57,0,10,87,0,69,63,bear_arms,0.0459455818693
56,0,2,11,2,160,2,57,0,1,381,9,17,9,55,81,4,5,17,0,5,7,0,16,1,10,19,2,3,29,0,6,3,0,1,0,1,92,0,0,79,42,3,7,108,14,4,1,3,27,20,14,1,11,4,13,0,32,1,24,31,0,12,10,326,14,51,0,4,4,25,3,21,41,0,5,14,6,59,0,14,38,0,102,23,open_borders,0.0458755428725
57,0,36,115,12,82,34,76,9,6,100,36,31,17,79,92,105,16,66,12,29,26,36,13,45,14,36,92,47,26,4,35,26,0,26,0,25,13,35,73,50,60,63,59,71,18,39,8,9,23,29,47,3,123,42,31,0,237,4,291,51,21,54,55,103,46,25,62,6,10,23,21,62,34,19,36,44,49,41,0,36,62,0,56,99,whole_thing,0.0456187332177
58,0,4,78,4,152,29,30,0,2,166,16,39,7,112,60,39,2,31,2,8,5,1,12,1,14,36,38,4,36,0,17,3,1,1,0,12,29,0,0,6,45,9,22,105,22,45,2,15,0,12,79,1,43,30,11,0,360,4,90,58,1,34,11,122,15,39,2,14,3,57,9,19,45,21,41,15,2,80,0,31,86,0,105,23,republican_establishment,0.0450117285792
59,1,41,139,16,73,34,73,22,7,135,50,34,24,121,71,96,4,61,15,11,27,43,9,35,15,37,60,65,25,19,11,18,0,49,0,52,24,23,125,184,39,112,48,39,10,90,33,7,34,27,42,4,60,21,5,1,56,1,262,50,29,58,105,98,41,24,40,17,19,27,90,47,30,9,28,66,38,59,0,45,71,0,66,50,looked_like,0.04470822626
60,3,32,142,9,108,56,22,8,0,132,76,72,11,84,103,61,16,95,25,57,35,10,15,21,18,30,35,17,31,18,16,13,0,44,0,76,44,4,66,26,27,54,29,252,10,100,12,15,27,48,61,1,67,44,5,0,13,21,258,75,27,32,17,116,35,8,12,36,39,12,31,124,40,119,52,139,17,71,0,68,32,0,60,21,great_deal,0.044521455602
61,0,1,61,8,238,17,38,0,1,178,11,13,12,127,32,46,0,6,1,5,1,0,8,3,31,55,21,7,29,4,6,4,1,0,0,1,93,0,0,39,14,4,20,79,11,26,2,6,1,17,22,2,112,24,11,0,48,0,88,66,0,30,13,161,12,51,2,7,5,79,4,1,32,22,27,13,8,82,0,16,56,0,95,31,gop_establishment,0.0438444119667
62,7,27,108,11,93,16,48,12,4,117,19,146,7,105,88,67,25,37,28,55,65,17,17,26,18,106,31,31,53,26,9,13,1,30,0,31,23,8,37,52,32,43,22,91,13,57,11,9,11,43,45,2,120,42,7,0,4,7,164,42,19,32,30,89,36,7,18,10,7,18,19,122,55,10,41,99,13,93,0,39,101,0,40,75,thus_far,0.0437510266377
63,4,17,44,18,15,13,70,20,4,77,0,4,19,32,47,15,0,4,0,12,8,53,11,11,18,18,28,22,17,0,12,9,0,845,0,47,4,24,46,46,3,2,0,35,1,12,24,1,3,3,22,2,39,26,5,0,3,2,60,12,2,19,4,107,51,23,43,7,7,23,38,26,4,11,9,0,7,0,0,5,64,0,37,29,im_gon_na,0.0415097787416
64,4,41,160,28,175,57,45,9,7,73,77,99,6,61,34,51,2,33,17,45,13,14,16,36,8,42,55,13,20,17,8,8,0,37,0,40,26,12,62,50,32,40,33,116,13,58,6,6,10,34,42,0,63,27,7,0,110,9,220,85,23,21,57,84,23,13,10,32,11,55,35,52,44,21,59,80,25,55,0,42,40,0,86,69,long_ago,0.0411362374256
65,5,22,55,15,99,9,41,9,10,97,61,34,22,36,51,99,3,90,13,23,13,39,10,10,15,115,55,29,27,14,28,10,1,29,0,40,16,34,50,67,30,26,33,42,10,25,13,18,37,36,63,0,84,20,12,0,48,1,101,85,8,26,26,88,35,46,10,10,32,31,26,36,28,13,25,31,43,41,0,23,70,0,85,82,days_ago,0.0408093887741
66,6,35,110,8,91,29,64,15,18,107,0,41,10,73,60,58,20,103,4,88,23,19,16,22,26,48,127,12,30,1,12,21,0,66,0,43,20,14,91,107,8,1,1,107,8,39,20,9,18,14,110,0,100,56,29,0,0,11,148,92,23,11,4,123,77,19,27,15,10,39,63,63,40,35,35,3,14,0,0,4,60,0,82,101,doesnt_matter,0.0406459644484
67,6,8,30,11,137,12,38,0,4,107,24,54,17,56,88,6,21,21,0,15,145,3,19,0,9,22,12,15,55,4,17,1,0,23,0,14,12,2,1,57,27,13,12,54,16,4,5,10,96,54,27,7,27,20,26,0,6,0,51,93,6,29,10,104,28,24,4,6,8,13,2,38,30,9,39,35,14,87,0,23,44,0,87,28,terrorist_groups,0.0404358474581
